AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,MOLI_Compiere_Tables,10,T,,,,,,,,Sequence,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Compiere_Tables,20,T,,,,,,,,AD_Sequence_No,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Compiere_Tables,30,W,,,,,,,,,ALL,,,,,,,Document Sequence,,,,,,,,,,,,
*,MOLI_Compiere_Tables,1100,T,,,,,,,,Product,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Compiere_Tables,1110,T,,,,,,,,Import Product,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Compiere_Tables,1120,T,,,,,,,,Business Partner,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Compiere_Tables,10000,D,,,,,,,,Package Exp.,ALL,SELECT * FROM AD_Package_Exp WHERE AD_Package_Exp_UU='b3df4b8b-2c3f-49a3-8378-1f043294a9e3';AD_Package_Exp_Detail,,,,,,,,,,,,,,,,,,
